Down;Data wydania wyroku;sygnatura akt;Nazwa i siedziba sˆdu, kt—ry wyda¸ wyrok;Oznaczenie stron oraz informacja o udziale w post«powaniu prokuratora lub organizacji spo¸ecznej - POWîD;Oznaczenie stron oraz informacja o udziale w post«powaniu prokuratora lub organizacji spo¸ecznej - POZWANI;Postanowienie wzorca umowy uznane za niedozwolone;Data dokonania wpisu;Uwagi (wszelkie wpisy dodatkowe);Branıa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
948;27 lip 05;Sygn. akt XVII AmC 60/04;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Jolanta Jastrz«bska ;Pozwany: AICE Polska Sp. z.o.o. z/s w Warszawie;ãW momencie zakoÄczenia planu ratalnego grupy, zgodnie z artyku¸em 19 AICE przystˆpi do przekazywania klientom kt—rzy zrezygnowali z uczestnictwa w systemie wniesionych przez nich rat czystych (É)Ó;17 lis 06;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
949;27 lip 05;Sygn. akt XVII AmC 60/04;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Jolanta Jastrz«bska ;Pozwany: AICE Polska Sp. z.o.o. z/s w Warszawie;ãW przypadku zalegania z wp¸atˆ trzech lub wi«cej rat (kolejnych lub nie) uznaje si« iı umowa zosta¸a rozwiˆzana. Klient otrzyma zwrot wp¸aconych rat czystych zgodnie z artyku¸em 16.1Ó;17 lis 06;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
950;27 lip 05;Sygn. akt XVII AmC 60/04;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Jolanta Jastrz«bska ;Pozwany: AICE Polska Sp. z.o.o. z/s w Warszawie;ãKaıda p¸atnoæ dokonana po terminie powinna by p¸acona w wysokoæci obliczanej zgodnie z artyku¸em 4. Suma ta powinna by powi«kszona zgodnie z og—lnie przyj«tymi zasadami o odsetki za zw¸ok«Ó;17 lis 06;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
951;27 lip 05;Sygn. akt XVII AmC 60/04;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Jolanta Jastrz«bska ;Pozwany: AICE Polska Sp. z.o.o. z/s w Warszawie;ãGdyby w ciˆgu dw—ch kolejnych miesi«cy nie zebrano ærodk—w na zakup jednego samochodu, AICE powinna zastosowa mechanizmy umoıliwiajˆce asygnacj« samochodu klientom na bieıˆco p¸acˆcym raty. Jedynie w przypadku wyczerpania wszelkich moıliwoæci technicznych AICE upowaınione jest do rozliczenia grupy zgodnie z artyku¸em 19. AICE poinformuje i wyjaæni klientom przyczyny uzasadniajˆce podj«cie powyıszej decyzjiÓ;17 lis 06;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
952;27 lip 05;Sygn. akt XVII AmC 60/04;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Jolanta Jastrz«bska ;Pozwany: AICE Polska Sp. z.o.o. z/s w Warszawie;ãPo zakoÄczeniu planu ratalnego lub w szczeg—lnym przypadku om—wionym w cz«æci koÄcowej artyku¸u 18, AICE powinna przystˆpi do dokonywania zwrot—w rat czystych w oparciu o ærodki tworzˆce aktualny fundusz grupy. W tym celu w terminie 90 dni kalendarzowych nastˆpi ostateczne rozliczenie grupy w nast«pujˆcej kolejnoæci: zwrot rat, kt—re ewentualnie AICE wp¸aci¸a z tytu¸u zakupu samochodu dla grupy, zwrot rat klientom, kt—rzy zrezygnowali z uczestnictwa w Systemie lub z kt—rymi rozwiˆzano umow« zgodnie z artyku¸ami 16.1 i 17.1.A niniejszej umowyÓ;17 lis 06;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
953;27 lip 05;Sygn. akt XVII AmC 60/04;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Jolanta Jastrz«bska ;Pozwany: AICE Polska Sp. z.o.o. z/s w Warszawie;ãPodpis pod warunkami og—lnymi umowy jest r—wnoznaczny z wyraıeniem zgody na przetwarzanie danych osobowych w bazie danych AICE oraz na przekazywanie innym podmiotom, w tym firmom ubezpieczeniowycm w usprawiedliwionych celach wynikajˆcych z umowy, a takıe na zamieszczanie w prasie wynik—w asygnacji (nazwisko, imi«, miejscowoæ)Ó;17 lis 06;;SYSTEM ARGENTYÁSKI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
954;24 sie 06;Sygn. akt XVII AmC 115/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Wyısza Szko¸a Handlu i Prawa im. Ryszarda üazarskiego w Warszawie;ãInterpretacji postanowieÄ regulaminu studi—w dokonuje rektor. Ustalenia interpretacyjne nie mogˆ by sprzeczne z przepisami statutu Szko¸yÓ;27 lis 06;Edukacja;EDUKACJA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
955;24 sie 06;Sygn. akt XVII AmC 115/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Wyısza Szko¸a Handlu i Prawa im. Ryszarda üazarskiego w Warszawie;ãZ zastrzeıeniem ust. 4, za wyraıenie woli rezygnacji ze studi—w uznaje si« zaniechanie uiszczenia w terminie raty czesnegoÓ;27 lis 06;;EDUKACJA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
956;24 sie 06;Sygn. akt XVII AmC 115/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Wyısza Szko¸a Handlu i Prawa im. Ryszarda üazarskiego w Warszawie;ãBezskuteczny up¸yw terminu uiszczenia raty czesnego uznaje si« za wyraıenie woli rezygnacji ze studi—w, jeıeli zaleg¸a rata nie zosta¸a uiszczona w ciˆgu czternastu dni od dnia up¸ywu terminu uiszczenia. Rezygnacja wywo¸uje skutek pi«tnastego dnia po up¸ywie terminu uiszczenia ratyÓ;27 lis 06;;EDUKACJA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
957;12 kwi 06;Sygn. akt XVII AmC 15/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Zbigniew Grzybowiski, Przedsi«biorstwo Us¸ugowe Novum;ãZleceniodawca zleca a Zleceniobiorca przyjmuje do realizacji wykonanie us¸ugi, polegajˆcej na przeszkoleniu Pani/Pana ÉÉ na kursie j«zyka ÉÉ typu ÉÉ, z programem 120 godz. dydaktycznych (+1, -6 godz.)Ó;27 lis 06;;EDUKACJA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
958;12 kwi 06;Sygn. akt XVII AmC 15/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Zbigniew Grzybowiski, Przedsi«biorstwo Us¸ugowe Novum;ãZleceniodawca zleca a Zleceniobiorca przyjmuje do realizacji wykonanie us¸ugi, polegajˆcej na przeszkoleniu Pani/Pana ÉÉ na kursie j«zyka ÉÉ typu ÉÉ, z programem 70 godz. dydaktycznych (+1, -4 godz.)Ó;27 lis 06;;EDUKACJA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
959;12 kwi 06;Sygn. akt XVII AmC 15/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Zbigniew Grzybowiski, Przedsi«biorstwo Us¸ugowe Novum;ãZleceniodawca ma prawo ıˆdania zwrotu stosownej cz«æci op¸aty poniesionej za kurs w przypadku stwierdzenia raıˆcych zaniedbaÄ Zleceniobiorcy dotyczˆcych poziomu merytorycznego i jakoæci prowadzonych zaj« bˆd zawieszenia realizacji us¸ugi na okres d¸uıszy niı 14 dniÓ;27 lis 06;;EDUKACJA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
960;12 kwi 06;Sygn. akt XVII AmC 15/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Zbigniew Grzybowiski, Przedsi«biorstwo Us¸ugowe Novum;ãRezygnacja z udzia¸u w zaj«ciach kursu (przypadek okreælony w pkt 7) nie zwalnia Zleceniodawcy z obowiˆzku uregulowania pe¸nej op¸aty za szkolenie (wszystkie raty)Ó;27 lis 06;;EDUKACJA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
961;12 kwi 06;Sygn. akt XVII AmC 15/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Zbigniew Grzybowiski, Przedsi«biorstwo Us¸ugowe Novum;ãZleceniobiorca ma prawo usuni«cia uczestnika szkolenia z pojedynczych zaj« lub dyscyplinarnego usuni«cia z kursu, bez prawa zwrotu poniesionych op¸at, w nast«pujˆcych przypadkach: - stawienia si« na zaj«cia dydaktyczne w stanie wskazujˆcym na spoıycie alkoholu lub innych ærodk—w odurzajˆcych, - podejmowania przez uczestnika szkolenia dzia¸aÄ powszechnie nieakceptowanych spo¸ecznie, utrudniajˆcych prac« lektor—w lub dezorganizujˆcych dzia¸alnoæ grupy dydaktycznejÓ;27 lis 06;;EDUKACJA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
962;12 kwi 06;Sygn. akt XVII AmC 15/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Zbigniew Grzybowiski, Przedsi«biorstwo Us¸ugowe Novum;ãZleceniodawca, kt—ry w dniu zawarcia umowy jest osobˆ niepe¸noletniˆ zobowiˆzany jest do niezw¸ocznego okazania treæci niniejszej umowy swoim rodzicom lub opiekunom prawnym. Wniesienie op¸aty na podstawie niniejszej umowy traktowane jest jako akceptacja warunk—w umowy ze strony opiekun—w prawnych niepe¸noletniego ZleceniodawcyÓ;27 lis 06;;EDUKACJA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
963;11 pa 06;Sygn. akt XVII AmC 117/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: ãPietrzakÓ Sp. z o.o. w Katowicach;ãCena pojazdu okreælona na fakturze sprzedaıy lub rachunku uproszczonym moıe by wyısza od ceny pojazdu okreælonej w Umowie takıe w innych Ğ niı wymienione w Art. 2.1 Ğ przyczyn, niezaleınych od Sprzedawcy lub Importera, w szczeg—lnoæci, gdy uznajˆ oni, iı nastˆpi¸a pomi«dzy dniem zawarcia Umowy, a dniem wydania pojazdu gwa¸towna zmiana kursu Euro w stosunku do PLN, uzasadniajˆca wzrost ceny pojazdu. W takim przypadku Kupujˆcy b«dzie m—g¸ wed¸ug swojego wyboru: kupi samoch—d po nowej, wyıszej cenie, albo odstˆpi od umowy za zwrotem wp¸aconej zaliczki najp—niej w dniu wydania pojazduÓ;8 gru 06;;SPRZEDAû KONSUMENCKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
964;11 pa 06;Sygn. akt XVII AmC 117/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: ãPietrzakÓ Sp. z o.o. w Katowicach;ãW przypadku braku zwrotu pojazdu w terminie okreælonym w umowie, najemca zobowiˆzuje si« zap¸aci ustalone w umowie wynagrodzenie za kaıdˆ rozpocz«tˆ dob« wynajmu poza terminem okreælonym w umowie oraz kar« umownˆ w wysokoæci potr—jnej stawki dziennej brutto za kaıdy rozpocz«ty dzieÄ op—nieniaÓ;8 gru 06;;SPRZEDAû KONSUMENCKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
965;02 pa 06;Sygn. akt XVII AmC 110/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Powiatowy Rzecznik Konsument—w w Poznaniu;Pozwany: Polkomtel S.A. w Warszawie;ãW przypadku usuni«cia blokady aparatu telefonicznego z pomini«ciem zasad okreælonych w ¤ 7 pkt 2 Uıytkownik MixPlus traci prawo do bezp¸atnej obs¸ugi serwisowej aparatu telefonicznego w ramach (É) uprawnieÄ z tytu¸u niezgodnoæci z umowˆÓ;8 gru 06;;USüUGI TELEKOMUNIKACYJNE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
966;02 pa 06;Sygn. akt XVII AmC 110/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Powiatowy Rzecznik Konsument—w w Poznaniu;Pozwany: Polkomtel S.A. w Warszawie;ãW przypadku usuni«cia blokady aparatu telefonicznego z pomini«ciem zasad okreælonych w ¤ 6 pkt 2 Abonent traci prawo do bezp¸atnej obs¸ugi serwisowej aparatu telefonicznego w ramach (É) uprawnieÄ z tytu¸u niezgodnoæci z umowˆÓ;8 gru 06;;USüUGI TELEKOMUNIKACYJNE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
967;23 pa 06;Sygn. akt XVII AmC 158/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Zak¸ad Produkcyjno-Handlowo-Us¸ugowy ãAlseccoÓ Zajˆc G., Zajˆc M., Kelner S Sp. j. w Nysie;ãKupujˆcy zobowiˆzany jest do niezw¸ocznego, pisemnego zawiadomienia Sprzedawcy o wystˆpieniu wady w przedmiocie umowyÓ;3 sty 07;;SPRZEDAû KONSUMENCKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
968;23 pa 06;Sygn. akt XVII AmC 158/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Zak¸ad Produkcyjno-Handlowo-Us¸ugowy ãAlseccoÓ Zajˆc G., Zajˆc M., Kelner S Sp. j. w Nysie;ãSprzedawca zastrzega sobie prawo przekazywania praw i obowiˆzk—w wynikajˆcych z zawartej umowy na rzecz os—b trzecichÓ;3 sty 07;;SPRZEDAû KONSUMENCKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
969;23 pa 06;Sygn. akt XVII AmC 158/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Zak¸ad Produkcyjno-Handlowo-Us¸ugowy ãAlseccoÓ Zajˆc G., Zajˆc M., Kelner S Sp. j. w Nysie;ãW przypadku rozstrzygni« sˆdowych Ğ przez sˆd w¸aæciwy dla siedziby SprzedawcyÓ;3 sty 07;;SPRZEDAû KONSUMENCKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
970;06 mar 06;Sygn. akt XVII AmC 21/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Krajowa Fundacja Oæwiatowa z/s w Warszawie;ã(É) W przypadku zw¸oki w zap¸acie II raty naliczane b«dˆ odsetki w wysokoæci 1% za kaıdy dzieÄ zw¸okiÓ;3 sty 07;;EDUKACJA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
971;06 mar 06;Sygn. akt XVII AmC 21/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Krajowa Fundacja Oæwiatowa z/s w Warszawie;ã(É) Kursant moıe zosta dyscyplinarnie skreælony z listy kursant—w bez prawa do zwrotu op¸atyÓ;3 sty 07;;EDUKACJA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
972;06 mar 06;Sygn. akt XVII AmC 21/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Krajowa Fundacja Oæwiatowa z/s w Warszawie;ãW przypadku dobrowolnej rezygnacji z kursu lub dyscyplinarnego skreælenia (É) z listy s¸uchaczy na zasadach wymienionych w punkcie 6 Og—lnych Warunk—w Uczestnictwa zwrot op¸at wniesionych za kurs nie przys¸ugujeÓ;3 sty 07;;EDUKACJA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
973;09 pa 06;Sygn. akt XVII AmC 101/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Powszechne Centrum Odd¸uıeniowo-Kredytowe Sp. z o.o. z siedzibˆ w Kaliszu;ãZleceniobiorca w ramach potrzeb wynikajˆcych z aktualnej sytuacji Zleceniodawcy wzgl«dem kaıdego z osobna jego wierzycieli, w ramach obowiˆzywania umowy, moıe udzieli nieoprocentowanych kredyt—w got—wkowych na sp¸at« poszczeg—lnych zobowiˆzaÄ. Wynagrodzenie za kaıdˆ udzielonˆ kwot« w ramach kredytu wliczone jest w naleınˆ Zleceniobiorcy prowizj« wynikajˆcˆ z Za¸ˆcznika nr 7Ó;3 sty 07;;USüUGI FINANSOWE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
974;09 pa 06;Sygn. akt XVII AmC 101/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Powszechne Centrum Odd¸uıeniowo-Kredytowe Sp. z o.o. z siedzibˆ w Kaliszu;ãZleceniobiorca rozpocznie realizacj« przedmiotu umowy po dostarczeniu przez Zleceniodawc« wymaganych dokument—w Ğ prawid¸owo wype¸nionych Ğ i wniesieniu op¸aty za rozpatrzenie wniosku (É).Ó;3 sty 07;;USüUGI FINANSOWE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
975;09 pa 06;Sygn. akt XVII AmC 101/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Powszechne Centrum Odd¸uıeniowo-Kredytowe Sp. z o.o. z siedzibˆ w Kaliszu;ãOp¸ata jest bezzwrotna w przypadku rozwiˆzania umowy przez Zleceniodawc« lub z jego winy przez Zleceniobiorc«. (É) Strony ustalajˆ, ıe zleceniobiorca zwr—ci zleceniodawcy wy¸ˆcznie nadp¸acony kapita¸Ó;3 sty 07;;USüUGI FINANSOWE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
976;09 pa 06;Sygn. akt XVII AmC 101/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Powszechne Centrum Odd¸uıeniowo-Kredytowe Sp. z o.o. z siedzibˆ w Kaliszu;ã(É) Umowa ulega automatycznemu rozwiˆzaniu, jeıeli Zleceniodawca nie b«dzie terminowo regulowa¸ naleınoæci wzgl«dem Zleceniobiorcy wynikajˆcych z za¸ˆcznika nr 7 (É)Ó;3 sty 07;;USüUGI FINANSOWE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
977;09 pa 06;Sygn. akt XVII AmC 101/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Powszechne Centrum Odd¸uıeniowo-Kredytowe Sp. z o.o. z siedzibˆ w Kaliszu;ãDo centrali Zleceniobiorcy Zleceniodawca przesy¸a Ğ w trakcie obowiˆzywania umow Ğ wy¸ˆcznie: a. wypowiedzenia um—w przez wierzycieli, b. przedsˆdowe i przedegzekucyjne wezwania do zap¸aty, c. sˆdowe nakazy zap¸aty, d. odpowiedzi na pisma Zleceniobiorcy, e. pisma procesowe i komornicze, f. wszelkie propozycje ugody ze strony wierzyciela lub pisma o odmowie ugody. Inne przes¸ane dokumenty nie b«dˆ brane pod uwag«. Zleceniobiorca nie przechowuje i nie zwraca innej dokumentacji niı wskazanaÓ;3 sty 07;;USüUGI FINANSOWE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
978;09 pa 06;Sygn. akt XVII AmC 101/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Powszechne Centrum Odd¸uıeniowo-Kredytowe Sp. z o.o. z siedzibˆ w Kaliszu;ãOp¸aty dodatkowe, kt—re ponosi Zleceniodawca: - (É) - za przyznanie okresu karencji w sp¸acie rat na 1 miesiˆc Ğ 50 PLN - za przyznanie okresu karencji w sp¸acie rat na 2 miesiˆce Ğ 100 PLN - za wys¸anie upomnienia za zw¸ok« w zap¸acie raty Ğ 20 PLN - za wys¸anie wezwania do zap¸aty raty Ğ 30 PLN - za wys¸anie przedsˆdowego wezwania do zap¸aty Ğ 50 PLN - za wizyt« indykator—w w zwiˆzku z brakiem sp¸aty 2 rat Ğ 100 PLN - (É) - za telegram informujˆcy o zad¸uıeniu przeterminowanym Ğ 30 PLN - za monit telefoniczny Ğ 20 PLN - (É)Ó;3 sty 07;;USüUGI FINANSOWE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
979;09 pa 06;Sygn. akt XVII AmC 101/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Powszechne Centrum Odd¸uıeniowo-Kredytowe Sp. z o.o. z siedzibˆ w Kaliszu;ãEwentualne kwestie sporne rozstrzygane b«dˆ przez sˆdy powszechne w¸aæciwe ze wzgl«du na siedzib« ZleceniobiorcyÓ;3 sty 07;;USüUGI FINANSOWE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
980;01 cze 06;Sygn. akt XVII AmC 95/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Viva Tours Sp. z o.o. w Chorzowie;ãKlientowi nie przys¸uguje zwrot wartoæci æwiadczeÄ, kt—rych nie wykorzysta¸ z przyczyn nie leıˆcych po stronie organizatora lub z powodu przerwania jego udzia¸u w imprezie przez s¸uıby graniczne lub policj«Ó;8 sty 07;;TURYSTYKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
